Round;Current;F/mol;Electrode;Salt;Solvent;PivOH eq.;Base;Base eq.;Expected yield;Yield
1;20.6;6.2;RVC/G;TBA;MeOH;0.6;PivONa;3.7;6.62;17
2;20.1;8;RVC/G;TMA;MeOH;0.1;PivONa;4.5;18.29;25.49
2;20.2;7.4;RVC/G;TMA;MeOH;0.4;PivONa;4.7;18.28;
2;20.6;7.4;RVC/G;TMA;MeOH;0.5;PivONa;4.3;18.17;
2;21.1;7;RVC/G;TMA;MeOH;0.2;PivONa;5;18.13;27.08
2;20.3;8;RVC/G;TMA;MeOH;0.6;PivONa;5.1;17.96;
2;20.2;7.4;RVC/G;TBA;MeOH;0.3;PivONa;5.6;17.56;
2;19.6;6.8;RVC/G;TMA;MeOH;0.1;PivONa;3.6;17.41;
2;20.1;7.7;RVC/G;TBA;MeOH;0.8;DIPEA;5.3;15.59;
2;19.9;8;RVC/RVC;TBA;MeOH;0.7;DIPEA;5.2;15.16;16.68
2;19.7;7.7;RVC/RVC;TBA;MeOH;0.5;DIPEA;5;15.07;
3;21.1;7.7;G/G;TMA;MeOH;0.3;PivONa;6;29.75;47.01
3;21.5;7.3;RVC/G;TMA;MeOH;0.2;PivONa;6;29.54;23.79
3;20.8;6.7;G/G;TMA;MeOH;0.3;PivONa;6.4;28.98;
3;21.6;9;G/G;TMA;MeOH;0.1;PivONa;6.1;28.97;44.47
3;21;7.7;G/G;TMA;MeOH;0.5;PivONa;6;28.92;
3;21.8;6.6;RVC/G;TMA;MeOH;0.2;PivONa;6.6;28.73;3.39
3;20;8;G/G;TMA;MeOH;0.4;PivONa;6;28.39;
3;20.3;8;G/G;TMA;MeOH;0.5;PivONa;6;28.23;37.62
3;20.6;8;RVC/RVC;TMA;MeOH;0.1;PivONa;6.5;27.17;
4;21.3;8.3;G/G;TMA;MeOH;0.2;PivONa;5.8;49.83;32.13
4;21.3;7.9;G/G;TMA;MeOH;0.3;PivONa;6;48.78;
4;21;9;G/G;TMA;MeOH;0.3;PivONa;9;17.91;
